1850114,"Walker Edison - TV Cabinet for Most TVs Up to 50"" - Espresso",HardGood,Mar-09-2017 05:13:59,189.99,"Supports TVs up to 50"" or 249.1 lbs.; high-grade MDF and durable laminate construction; internal cable management","Improve your home with this corner console from Walker Edison by adding storage space in style. This TV stand is made with high-grade MDF and laminate for a solid construction to support large weight of a large TV. Featuring tempered glass paned cabinet doors with sleek metal handles, with shelving inside for storing your electronics, media, and more. Place in any corner of your living room, bedroom, or home office as this entertainment center has a space-saving design. Add a transitional and modern farmhouse style to your home with this media console.",Walker Edison,PHOTO/COMMODITIES,Espresso
1850123,"Walker Edison - TV Cabinet for Most TVs Up to 60"" - Espresso",HardGood,Mar-11-2017 09:32:40,439.99,"Supports TVs up to 60"" or 249.1 lbs.; tempered glass and high-grade MDF construction; internal cable management","In a highboy design, this storage console from Walker Edison fits more of your media, books, and more in one place. Crafted from high-grade MDF and painted, this entertainment center showcases four cabinets with tempered safety glass fronts and metal handles. Adjustable shelving inside provides space for your electronics, media, books, and more with an open shelf above including a cable management hole for organizing wires. As a TV stand, it can hold a large TV thanks to strong design. This media console will add a transitional design style into your home.",Walker Edison,PHOTO/COMMODITIES,Espresso
1850132,"Walker Edison - Fireplace Storage TV Stand for Most TVs Up to 65"" - Black",HardGood,Mar-08-2017 02:10:20,339.99,Supports TVs up to 249.1 lbs.; high-grade MDF and durable laminate construction,"Perfect for adding heat to any room, this media console with an electric fireplace by Walker Edison is ideal. With a center electric fireplace that plugs in and can be turned on with the flip of a switch for LEDs to warm up the room and display faux log accents. The entertainment center is made of high-grade MDF in a wood grain texture and can support a large weight. Store your electronics, media, and more on the open shelving of this entertainment center for your living room, bedroom, or home office.",Walker Edison,PHOTO/COMMODITIES,Black
1857487,Elite Home - Electronic Personal Bathroom Scale - Silver,HardGood,Mar-11-2019 18:15:53,23.99,Removable digital LCD display; wall-mountable infrared wireless data transmission; dual-display feature; tempered-glass platform; automatic low-battery and overload indicators,"Monitor your weight with this Elite Home ESC-910 electronic personal bathroom scale, which features a removable digital LCD display that clearly shows weights up to 400 lbs. Automatic low-battery indication lets you know when the batteries need changing.",Elite Home,DTS,Silver
1860027,"Simpli Home - Burlington TV Cabinet for Most TVs Up to 60"" - Brown",HardGood,Apr-25-2018 09:42:26,524.99,"Supports TVs up to 60"" or 200 lbs.; 6 shelves; 2 doors; 2 drawers; integrated cable management","Discover the ideal viewing height with this Simpli Home Burlington media stand. Its tall design and hand-finished espresso brown stain bring a dramatic focal point to home furnishings, and the solid pine construction supports up to 60-inch televisions. The multiple shelves and drawers of this Simpli Home Burlington media stand provide ample storage for gaming and electronic components.",Simpli Home,PHOTO/COMMODITIES,Brown
2025045,GE - 0.7 Cu. Ft. Compact Microwave - Stainless steel,HardGood,Mar-13-2017 10:14:34,99.99,700W of power; 10 power levels; electronic touch controls and LED display; convenience cooking controls; auto and time defrost; removable glass turntable,"Featuring electronic touch controls and convenience cooking options, this GE JES1072SHSS 0.7 cu. ft. compact microwave allows you to prepare popcorn, potatoes and other food and beverage items with just the touch of a button.",GE,APPLIANCE,Stainless steel
2129095,Energizer - MAX AAA Batteries (24-Pack),HardGood,Sep-13-2019 10:30:46,19.49,Alkaline chemistry; 1.5V of power; 1250 mAh capacity; Power Seal technology; up to 10-year shelf life,"Power your household electronics with these Energizer MAX E92BP-24 AAA batteries, which yield 1.5V of power and feature a 1250 mAh capacity. Power Seal technology allows up to 10 years of storage before use.",Energizer,PHOTO/COMMODITIES,Silver
2253177,iBEAM - Above License Plate Camera - Black,HardGood,Feb-19-2020 17:00:49,59.99,Mounts to top bolts of license plate; 170&#176; viewing angle; selectable parking assist lines; water-resistant design,"Increase rearview visibility with this Metra Electronics backup camera. Its 170-degree viewing angle eliminates blind spots and difficult-to-see areas around your rear bumper, and it comes with an option to select parking assist lines. This Metra Electronics backup camera has a waterproof design and attaches securely with two bolts over the rear license plate.",iBEAM,MOBILE AUDIO,Black
2512138,"KitchenAid - Architect Series II 36"" Externally Vented Range Hood - Stainless steel",HardGood,Mar-08-2017 15:26:30,1079.99,"Electronic controls; 400 cfm vertical exhaust capacity; 4-speed exhaust fan; removable, dishwasher-safe mesh filters; 2 halogen lights","Help keep your kitchen fresh with this externally vented range hood that features electronic controls for simple operation and a 4-speed exhaust fan to eliminate smoke and cooking odors. The removable, dishwasher-safe mesh filters allow easy cleaning.",KitchenAid,APPLIANCE,Stainless steel
26179211,House: Season Two [6 Discs] [DVD],Movie,Jul-24-2018 07:13:48,29.99,,"This release features all 24 episodes of House: Season Two. Season Two of House begins as the gloriously obnoxious and abrasive Dr. Gregory House, head nephrologist at Princeton-Plainsboro Teaching Hospital, stubbornly (and somewhat perversely) trying to save the life of a seriously ill death-row inmate over the objections of his colleagues. Perhaps House is being more contrary than usual because he doesn't like being forced to work in close quarters with his ex-girlfriend Stacy (Sela Ward). Elsewhere, House's colleague Dr. Allison Cameron (Jennifer Morrison) is herself faced with a life-or-death crisis when evidence indicates that she is HIV-positive; House's superior-in-name-only Dr. Cuddy (Lisa Edelstein) clashes with him over the treatment of a man who suffered an injury while working on Cuddy's roof; neurologist Eric Foreman (Omar Epps) briefly becomes House's boss, with both men pushing the envelope to see which one will go ballistic first; and after separating from his wife, oncologist James Wilson (Robert Sean Leonard) moves in with House--who despite his anger over having to share his space with anyone is reluctant to let Wilson leave because the guy is such a great cook! And in the two-part episode ""Euphoria"", House races against time to determine the malady that is causing a wounded policeman to literally laugh himself to death--things getting uncomfortably personal when Foreman begins showing the same symptions! The second ends when House is shot and wounded by the husband of a former patient--and those fans aware of the series' many references to Sherlock Holmes will get a kick out of the name of the assailant. Among the honors bestowed upon House during its second season on the air was the prestigious Peabody Award for ""Best of Electronic Media.""",,VIDEO/COMPACT DISC,
2730986,Energizer - 123 Battery,HardGood,Aug-20-2017 00:16:51,8.99,Lithium chemistry; 3V of power; 1300 mAh capacity,"Get the perfect shot with this Energizer e2 lithium battery in your camera. It provides 3V of power to run flash units, security systems and small electronics.",Energizer,PHOTO/COMMODITIES,Silver
2731002,Energizer - 3V 123 Photo Lithium Battery (2-Pack),HardGood,Mar-11-2017 19:32:31,14.99,Power your electronics with long-lasting consistency,"Power up your electronics with the battery that lasts. The Energizer 123 Photo Lithium Battery works great with 35mm film cameras and LED flashlights. The three-volt batteries provide your electronics with the power they need to keep them running for a long time.  This pack includes two batteries, so you can have a back-up when you need it. Lithium technology enables these batteries to have a ten-year shelf life. Give your electronics the juice they need with help from Energizer.",Energizer,PHOTO/COMMODITIES,Silver/Black
2737845,Energizer - AAAA Batteries (2-Pack),HardGood,Oct-12-2018 02:05:11,6.49,2-pack 1.5V AAAA alkaline batteries,"Miniature batteries for all your electronics, from health and fitness devices to electronic books and toys.",Energizer,PHOTO/COMMODITIES,Silver
27517172,Click/Mr. Deeds [2 Discs] [DVD],Movie,Mar-12-2017 10:47:19,7.99,,"Mr. Deeds One of Frank Capra's best-loved stories gets a modernized and wildly slapstick reinterpretation in this romantic comedy starring Adam Sandler. When Preston Blake (Harve Presnell), a remarkably wealthy media magnate, dies with neither a wife nor children, the question on the lips of most of his associates is who will inherit the estate. The surprising answer turns out to be Longfellow Deeds (Adam Sandler), a cheerful but half-bright proprietor of a small-town pizzeria, as well as part-time greeting card poet, who was a distant relative of Blake. In order to claim his 40-billion-dollar inheritance, Deeds heads to New York City, where Blake's former associates, Chuck Cedar (Peter Gallagher) and Cecil Anderson (Erick Avari), introduce him to the city while trying to figure out how to get their hands on his new fortune. Meanwhile, Mac McGrath (Jared Harris), the producer of a sleazy tabloid television show, wants to get the inside scoop on Deeds, and comes up with perfect way to get it: he sends beautiful but unscrupulous reporter Babe Bennett (Winona Ryder) to sweep Deeds off his feet while she's wired for sound. Convincing Deeds that she's from a small town just like himself, Bennett quickly wins his heart, but while his affection is sincere, hers is not. He also displays a curious eagerness to defend her good name with his fists which quickly gets him in trouble. Meanwhile, as Deeds becomes the new laughing stock of New York thanks to Bennett's stories, Deeds decides it's time he did something big with his money, while Cedar and Anderson think they've finally found a way to take control of Deeds' holdings. Mr. Deeds also features supporting performances from John Turturro, Steve Buscemi, and Conchata Ferrell. John McEnroe and Rev. Al Sharpton make cameo appearances as themselves.&#13;&#13;Click A workaholic architect, frustrated in his job but determined to make a better life for his family, is bestowed with a powerful universal remote that allows him more control over his life than he ever knew possible in director Frank Coraci's high-concept fantasy comedy. On the surface, Michael Newman (Adam Sandler) seems to have it all, yet with all the demands forced upon him by his ungrateful boss (David Hasselhoff), Michael finds that setting aside time to spend with his loving wife, Donna (Kate Beckinsale), and two picture-perfect children, Ben (Joseph Castanon) and Samantha (Tatum McCann), has grown increasingly difficult. When a frustrating bout with the television remote leads the overworked husband and father to a nearby Bed, Bath & Beyond in search of a universal remote with the power to control all of his electronic devices, a curious peek into the back room leads Michael into the company of eccentric employee and talented inventor Morty (Christopher Walken). It seems that Morty has created a device that will not only allow Michael complete control over his television and stereo, but his entire life as well. As Michael discovers that the remarkable device has the power to muffle the barks of the family dog, zoom himself past an irritating quarrel with his wife, and even allow him to travel back and forth through time to different points in his life, the rush of being able to skip straight to the good parts in life soon leaves him feeling as if he's missing out on the total experience. Only when Michael begins to realize that the he has lost control of his life and the remote is now programming him does he finally learn that life is as much about the moments he'd rather forget as it is the moments he will always remember.",,VIDEO/COMPACT DISC,
2753099,Energizer - 357 Batteries (3-Pack),HardGood,Mar-11-2017 14:32:51,6.99,Compatible with select electronic devices; silver oxide batteries; 1.55V and 150 mAh,"These miniature batteries are designed for powering select electronic devices, such as health and fitness devices, toys, games and electronic books.",Energizer,PHOTO/COMMODITIES,Silver
2875992,Whirlpool - Cabrio 5.3 Cu. Ft. 26-Cycle High-Efficiency Top-Loading Washer - White,HardGood,Mar-13-2017 03:57:34,899.99,"ENERGY STAR Certified
Electronic touch controls with memory; 26 cycles; Precision Dispense; ColorLast setting; Adaptive Wash technology with Active Bloom; low-profile impeller","Get an efficient clean with this Whirlpool Cabrio WTW8000DW top-loading washer, which features electronic touch controls that let you customize the settings. Adaptive Wash technology senses the needs of each load for enhanced cleaning.",Whirlpool,APPLIANCE,White
2876937,GE - 1.6 Cu. Ft. Over-the-Range Microwave - Silver,HardGood,May-02-2018 09:58:22,289.99,"1000W of power; electronic touch controls; beverage, popcorn and potato buttons; 2-speed fan","Reheat meals, cook popcorn or make a beverage with this GE JNM3161MFSA over-the-range microwave that features food-specific electronic touch controls to facilitate use. The 2-speed vent fan helps remove odors from your kitchen.",GE,APPLIANCE,Silver
2987103,"Walker Edison - Urban TV Cabinet for Most Flat-Panel TVs Up to 65"" - Driftwood",HardGood,Mar-10-2017 17:00:11,379.99,"Accommodates most flat-panel TVs up to 65"" and media accessories; high-grade MDF, durable laminate, and powder-coated steel materials; four drawers; concealed cabinet","Mount your flat-panel television on this 70-inch Walker Edison rustic wood TV stand. It supports screens up to 65 inches with plenty of storage for peripheral devices, and the high-grade MDF construction makes a sturdy base for expensive electronics. This Walker Edison rustic wood TV stand blends black and wood tones for a modern, neutral look.",Walker Edison,PHOTO/COMMODITIES,Driftwood
3044097,Panasonic - eneloop pro Rechargeable AAA Batteries (8-pack),HardGood,Mar-17-2020 17:00:34,28.99,Nickel-metal-hydride chemistry; 1.2V of power; 800 mAh capacity; precharged; withstands the cold; retains up to 70% of charge after 5 years without use; up to 2100 lifetime charges,These Panasonic eneloop BK-4HCCA8BA AAA batteries deliver 1.2V of reliable power to your household electronics and can be recharged up to 2100 times for long-lasting use. The precharged batteries retain their charge well for a lengthy shelf life.,Panasonic,PHOTO/COMMODITIES,Black
3060113,"GE - 27"" Self-Cleaning Drop-In Electric Range - White on White",HardGood,Mar-06-2019 17:46:34,1484.99,Electronic touchpad controls; three 1500W burners and one 2600W burner; 4-pass bake and broil elements; Sabbath mode; delay-bake option,Easily prepare a meal with this GE JM250DFWW drop-in electric range that features a 3.0 cu. ft. oven capacity and 4 burners that allow you to cook multiple dishes at once. The electronic touchpad controls enable simple operation.,GE,APPLIANCE,White on White
3060122,"GE - 27"" Self-Cleaning Drop-In Electric Range - Black",HardGood,Jul-25-2019 19:01:07,1484.99,Electronic touchpad controls; three 1500W burners and one 2600W burner; 4-pass bake and broil elements; Sabbath mode; delay-bake option,Easily prepare a meal with this GE JM250DFBB drop-in electric range that features a 3.0 cu. ft. oven capacity and 4 burners that allow you to cook multiple dishes at once. The electronic touchpad controls enable simple operation.,GE,APPLIANCE,Black
3112351,"Lasko - Cyclone 20"" Floor Fan - White/Gray",HardGood,Jan-14-2020 17:00:49,45,3 speed settings; top-mounted controls; multi-function remote control;  full-tilt air control; comfortable handle; electronic 8-hour timer; wall-mount option; fully assembled,"Circulate air effectively with this 20-inch Lasko Cyclone fan. It has three speeds and a tilting body to keep you cool on hot days and direct the air where it's needed, and its electronic eight-hour timer automatically shuts it off to save energy. This Lasko Cyclone fan has a wall-mount option for flexible installation.",Lasko,APPLIANCE,White/Gray
3141194,Lasko - Tower Fan - White,HardGood,Mar-09-2020 17:00:52,60.99,3 speeds; electronic touch-control operation; slim design; smooth oscillation; programmable timer; easy-grip handle; includes remote control,"Cool your room effortlessly with this Lasko tower fan. It oscillates smoothly and quietly, operating electronically at the touch of a button, and it has three speeds for different levels of comfort. This Lasko tower fan has a programmable timer that turns the fan on and off according to your preferred schedule.",Lasko,APPLIANCE,White
3141582,Lasko - Pedestal Fan - Gray,HardGood,Apr-06-2020 17:45:45,64.99,3 speeds; adjustable height; oscillation; directional louvers; electronic timer; remote,This pedestal fan features an electronic timer for preset operation and directional louvers that allow for precise control of the airflow.,Lasko,APPLIANCE,Gray
3142014,Lasko - Tower Fan - Black,HardGood,Jan-21-2020 15:30:40,60.99,3 speeds; electronic touch-control operation; slim design; smooth oscillation; programmable timer; easy-grip handle; includes remote control,"Keep your house cool and comfortable with the smooth oscillation of this Lasko tower fan. Its electronic touch-control operation, programmable timer and remote control let you switch between the three quiet speed settings easily. With its easy-grip handle, this Lasko tower fan is portable for use throughout your entire home.",Lasko,APPLIANCE,Black
3154586,"Lasko - Platinum Desktop Wind 6"" Tower Fan - White",HardGood,Aug-30-2018 12:13:52,39.99,3 speeds; electronic controls; space-saving desktop size; pivoting top module; fully assembled,"Keep your office cool with this Lasko Platinum Wind Tower. The small space-saving design fits conveniently in the corner of your desktop or work space, and the front-mounted electronic controls make the fan easy to operate. This Lasko Platinum Wind Tower oscillates and pivots to help disperse cool air evenly throughout the room.",Lasko,APPLIANCE,White
324884,Directed Electronics - Viper Audio Glass Break Sensor - Multi,HardGood,Feb-27-2018 15:13:00,39.99,From our expanded online assortment; compatible with Directed Electronics alarm systems; microphone and microprocessor detect and analyze intrusions; detects quiet glass breaks,"Enhance your vehicle's Directed Electronics alarm system with the addition of this audio glass break sensor that features a microphone and microprocessor to detect and analyze intrusions, even if the glass is broken quietly. InstallationProfessional installation is strongly recommended for this product.Additional parts and labor are usually required - please contact your local Best Buy store for exact pricing.   Follow these steps for installation:   Purchase your product &#8212; You will receive an e-mail confirming your purchase  Find your local Best Buy store  Call to schedule an appointment Note: Please be sure to print and bring your confirmation e-mail with you to the store at the time of your installation",Directed Electronics,MOBILE AUDIO,Multi
3534278,Jungle Fever [DVD] [1991],Movie,Aug-09-2017 07:49:06,9.99,,"The DVD presentation of Spike Lee's Jungle Fever is a good attempt to give fans a little more than just the film. Presented in widescreen 1:85, the film shines due in part to a great transfer and cinematographer Ernest Dickerson's fabulous lighting. Audio is also impressive, with Dolby Surround available on the English, French, and Spanish tracks. The extras, though few, are enough to satisfy. In additional to the theatrical trailer, cast and crew bios, production notes, and web links, there's a short ""making of"" featurette showing Spike Lee directing on the set and discussing the theme of interracial relations. It's a studio-produced electronic press kit , but it features interviews with much of the film's cast.",,VIDEO/COMPACT DISC,
3703692,Energizer - Recharge Universal Rechargeable C Batteries (2-Pack),HardGood,Mar-08-2017 02:49:17,12.49,Nickel-metal-hydride chemistry; 1.2V of power; 2500 mAh capacity; up to one year in storage,"Keep electronic devices powered with this pack of two Energizer Recharge C batteries. They maintain a full charge for up to a year when stored, and you can reuse them. Use this pack of two Energizer Recharge C batteries to run small toys for 420 minutes and remotes or game controllers for 480 minutes per charge.",Energizer,PHOTO/COMMODITIES,Silver
