command_name[Text](Command Name),command_link[Text](Command Link),command_description[Text](Command Description)
FT.CREATE,"https://redis.io/commands/ft.create/","Creates an index with the given schema definition."
FT.SUGADD,"https://redis.io/commands/ft.sugadd/","Adds a suggestion string to an auto-complete suggestion dictionary. This is disconnected from the index definitions, and leaves creating and updating suggestions dictionaries to the user."
FT.SUGGET,"https://redis.io/commands/ft.sugget/","Gets completion suggestions for a prefix."
FT.SUGDEL ,"https://redis.io/commands/ft.sugdel/","Deletes a string from a suggestion index."
FT.SYNUPDATE,"https://redis.io/commands/ft.synupdate/","Updates a synonym group."
FT.SYNDUMP,"https://redis.io/commands/ft.syndump/","Dumps the contents of a synonym group."
FT.SPELLCHECK,"https://redis.io/commands/ft.spellcheck/","Performs spelling correction on a query, returning suggestions for misspelled terms."
FT.DICTADD,"https://redis.io/commands/ft.dictadd/","Adds terms to a dictionary."
FT.DICTDEL,"https://redis.io/commands/ft.dictdel/","Deletes terms from a dictionary."
FT.INFO,"https://redis.io/commands/ft.info/","Returns information and statistics on the search index."
FT.SEARCH,"https://redis.io/commands/ft.search/","Searches the index with a textual query, returning either documents or just ids."
FT.AGGREGATE,"https://redis.io/commands/ft.aggregate/","Runs a search query on an index, and performs aggregate transformations on the results, extracting statistics etc from them. See the full documentation on aggregations for further details."
FT.DROPINDEX,"https://redis.io/commands/ft.dropindex/","Deletes the search index."
"FT.*","https://redis.io/commands/?group=search","RediSearch commands reference documentation."
GRAPH.QUERY,"https://redis.io/commands/graph.query/","Executes the given query against a specified graph."
GRAPH.DELETE,"https://redis.io/commands/graph.delete/","Completely removes the graph and all of its entities."
GRAPH.LIST,"https://redis.io/commands/graph.list/","Lists all graph keys in the keyspace."
"GRAPH.*","https://redis.io/commands/?group=graph","RedisGraph commands reference documentation."
JSON.SET,"https://redis.io/commands/json.set/","Sets the JSON value at path in key.  For new Redis keys the path must be the root. For existing keys, when the entire path exists, the value that it contains is replaced with the json value."
JSON.GET,"https://redis.io/commands/json.get/","Return the value at path in JSON serialized form. This command accepts multiple path s, and defaults to the value's root when none are given."
JSON.DEL,"https://redis.io/commands/json.del/","Delete a value. The path defaults to root if not provided. Non-existing keys and paths are ignored. Deleting an object's root is equivalent to deleting the key from Redis."
"JSON.*","https://redis.io/commands/?group=json","RedisJSON commands reference documentation."
TS.CREATE,"https://redis.io/commands/ts.create/","Create a new time-series."
TS.ALTER,"https://redis.io/commands/ts.alter/","Update the retention, labels of an existing key. The parameters are the same as TS.CREATE."
TS.ADD,"https://redis.io/commands/ts.add/","Append (or create and append) a new sample to the series."
TS.MADD ,"https://redis.io/commands/ts.madd/","Append new samples to a list of series."
TS.INCRBY,"https://redis.io/commands/ts.incrby/","Creates a new sample that increments the latest sample's value."
TS.DECRBY,"https://redis.io/commands/ts.decrby/","Creates a new sample that decrements the latest sample's value."
TS.CREATERULE,"https://redis.io/commands/ts.createrule/","Create a compaction rule."
TS.DELETERULE,"https://redis.io/commands/ts.deleterule/","Delete a compaction rule."
TS.RANGE,"https://redis.io/commands/ts.range/","Query a range in forward or reverse directions."
TS.REVRANGE,"https://redis.io/commands/ts.mrevrange/","Query a range in forward or reverse directions."
TS.MRANGE,"https://redis.io/commands/ts.mrange/","Query a range across multiple time-series by filters in forward or reverse directions."
TS.MREVRANGE,"https://redis.io/commands/ts.mrevrange/","Query a range across multiple time-series by filters in forward or reverse directions."
TS.GET,"https://redis.io/commands/ts.get/","Get the last sample."
TS.MGET,"https://redis.io/commands/ts.mget/","Get the last samples matching the specific filter."
TS.INFO,"https://redis.io/commands/ts.info/","Returns information and statistics on the time-series."
TS.QUERYINDEX,"https://redis.io/commands/ts.queryindex/","Get all the keys matching the filter list."
"TS.*","https://redis.io/commands/?group=timeseries","RedisTimeSeries commands reference documentation."
